전표번호,전기일자,입력일시,계정코드,계정과목,차변금액,대변금액,적요,입력자,승인자,is_anomaly,anomaly_type
JE00001,2025-05-21,2025-05-21 12:14,101,현금,"1,411,200",0,매출채권 회수,이감사,김회계,정상,
JE00001,2025-05-21,2025-05-21 12:14,108,외상매출금,0,"1,411,200",매출채권 회수,이감사,김회계,정상,
JE00002,2025-10-30,2025-10-30 15:02,811,복리후생비,"4,658,000",0,직원 복리후생,김회계,이감사,정상,
JE00002,2025-10-30,2025-10-30 15:02,103,보통예금,0,"4,658,000",직원 복리후생,김회계,이감사,정상,
JE00003,2025-09-16,2025-09-16 09:35,251,외상매입금,"12,298,100",0,매입대금 지급,이감사,정전표,정상,
JE00003,2025-09-16,2025-09-16 09:35,101,현금,0,"12,298,100",매입대금 지급,이감사,정전표,정상,
JE00004,2025-10-29,2025-10-29 13:51,251,외상매입금,"23,651,400",0,매입대금 지급,김회계,박세무,정상,
JE00004,2025-10-29,2025-10-29 13:51,101,현금,0,"23,651,400",매입대금 지급,김회계,박세무,정상,
JE00005,2025-05-23,2025-05-23 11:13,812,여비교통비,"17,938,900",0,출장 여비 정산,박세무,김회계,정상,
JE00005,2025-05-23,2025-05-23 11:13,101,현금,0,"17,938,900",출장 여비 정산,박세무,김회계,정상,
JE00006,2025-02-19,2025-02-19 14:54,101,현금,"20,019,100",0,매출채권 회수,박세무,최결산,정상,
JE00006,2025-02-19,2025-02-19 14:54,108,외상매출금,0,"20,019,100",매출채권 회수,박세무,최결산,정상,
JE00007,2025-10-02,2025-10-02 10:59,108,외상매출금,"24,187,000",0,제품 판매,최결산,김회계,정상,
JE00007,2025-10-02,2025-10-02 10:59,401,제품매출,0,"24,187,000",제품 판매,최결산,김회계,정상,
JE00008,2025-11-18,2025-11-18 14:36,811,복리후생비,"15,470,900",0,직원 복리후생,이감사,김회계,정상,
JE00008,2025-11-18,2025-11-18 14:36,103,보통예금,0,"15,470,900",직원 복리후생,이감사,김회계,정상,
JE00009,2025-05-29,2025-05-29 10:54,108,외상매출금,"12,048,400",0,제품 판매,이감사,김회계,정상,
JE00009,2025-05-29,2025-05-29 10:54,401,제품매출,0,"12,048,400",제품 판매,이감사,김회계,정상,
JE00010,2025-08-21,2025-08-21 14:10,812,여비교통비,"14,673,800",0,출장 여비 정산,박세무,최결산,정상,
JE00010,2025-08-21,2025-08-21 14:10,101,현금,0,"14,673,800",출장 여비 정산,박세무,최결산,정상,
JE00011,2025-12-26,2025-12-26 10:38,251,외상매입금,"14,097,300",0,매입대금 지급,이감사,박세무,정상,
JE00011,2025-12-26,2025-12-26 10:38,101,현금,0,"14,097,300",매입대금 지급,이감사,박세무,정상,
